record_id|council_name|source_document|province|year|urban_pct|source_page|category|subcategory|decade
1|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Central|2011|25.5|11|STRATEGIC_PLAN|POPULATION|2010s
2|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Central|2015|25.4|11|STRATEGIC_PLAN|POPULATION|2010s
3|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Central|2020|25.4|11|STRATEGIC_PLAN|POPULATION|2020s
4|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Copperbelt|2011|82.1|11|STRATEGIC_PLAN|POPULATION|2010s
5|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Copperbelt|2015|83.0|11|STRATEGIC_PLAN|POPULATION|2010s
6|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Copperbelt|2020|84.1|11|STRATEGIC_PLAN|POPULATION|2020s
7|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Luapula|2011|19.4|11|STRATEGIC_PLAN|POPULATION|2010s
8|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Luapula|2015|21.0|11|STRATEGIC_PLAN|POPULATION|2010s
9|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Luapula|2020|23.1|11|STRATEGIC_PLAN|POPULATION|2020s
10|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Lusaka|2011|85.3|11|STRATEGIC_PLAN|POPULATION|2010s
11|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Lusaka|2015|85.7|11|STRATEGIC_PLAN|POPULATION|2010s
12|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Lusaka|2020|86.2|11|STRATEGIC_PLAN|POPULATION|2020s
13|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Muchinga|2011|18.6|11|STRATEGIC_PLAN|POPULATION|2010s
14|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Muchinga|2015|23.7|11|STRATEGIC_PLAN|POPULATION|2010s
15|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Muchinga|2020|28.5|11|STRATEGIC_PLAN|POPULATION|2020s
16|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Northern|2011|18.5|11|STRATEGIC_PLAN|POPULATION|2010s
17|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Northern|2015|19.0|11|STRATEGIC_PLAN|POPULATION|2010s
18|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Northern|2020|19.3|11|STRATEGIC_PLAN|POPULATION|2020s
19|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|North-Western|2011|23.0|11|STRATEGIC_PLAN|POPULATION|2010s
20|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|North-Western|2015|27.2|11|STRATEGIC_PLAN|POPULATION|2010s
21|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|North-Western|2020|32.0|11|STRATEGIC_PLAN|POPULATION|2020s
22|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Southern|2011|24.8|11|STRATEGIC_PLAN|POPULATION|2010s
23|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Southern|2015|25.9|11|STRATEGIC_PLAN|POPULATION|2010s
24|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Southern|2020|26.9|11|STRATEGIC_PLAN|POPULATION|2020s
25|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Western|2011|13.3|11|STRATEGIC_PLAN|POPULATION|2010s
26|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Western|2015|12.5|11|STRATEGIC_PLAN|POPULATION|2010s
27|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Western|2020|11.9|11|STRATEGIC_PLAN|POPULATION|2020s
28|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Zambia|2011|40.6|11|STRATEGIC_PLAN|POPULATION|2010s
29|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Zambia|2015|41.8|11|STRATEGIC_PLAN|POPULATION|2010s
30|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|Zambia|2020|43.3|11|STRATEGIC_PLAN|POPULATION|2020s
