record_id|council_name|source_document|sn|ward|constituency|district|n1|n2|facility|source_page
1|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|1|Kaumbwe|Kaumbwe|Petauke|1|3|Rural Health Centers 1 hospital|27
2|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|2|Ongolwe|Petauke Central|Petauke|2|4||27
3|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3|Lusinde|Kaumbwe|Petauke|1|3||27
4|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|4|Mawanda|Msanzala|Lusangazi|4|8||27
5|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|5|Mbala|Petauke Central|Petauke|3|4|1general hospital|27
6|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|6|Mateyo Mzeka|Petauke Central|Petauke|3|3||27
7|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|7|Chisangu|Msanzala|Lusangazi|1|3||27
8|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|8|Msumbazi|Petauke Central|Petauke|1|6||27
9|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|9|Singozi|Petauke Central|Petauke|2|3||27
10|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|10|Manyane|Kaumbwe|Petauke|4|4||27
11|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|11|Ukwimi|Msanzala|Lusangazi|6|8||27
12|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|12|Chilimanyama|Petauke Central|Petauke|2|2||27
13|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|13|Kovyane|Petauke Central|Petauke|2|4||27
14|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|14|Nyakawise|Petauke Central|Petauke|2|3||27
15|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|15|Manjazi|Kaumbwe|Petauke|2|4||27
16|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|16|Kanyanga|Kaumbwe|Petauke|2|3||27
17|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|17|Lutwazi|Msanzala|Petauke|1|2||27
18|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|18|Nyika|Petauke Central|Petauke|4|4|1district hospital|27
19|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|19|Nsimbo|Petauke Central|Petauke|1|2||27
20|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|20|Lusangazi|Msanzala|Lusangazi|2|2||27
